default,Identifier,Remarks,Filter,eng enc ena enz eni ens enj enb enl ent enw,cs,da,de,el,eo,es,esm esn esg esc esa esd esv eso esr ess esf esl esy esz esb ese esh esi esu,fi,fr,hu,it,jp,ko,nl,no nb,pl,pt,ptg,ro,ru,sr
Aim up,CNTRLMNU_AIMUP,,,,Mířit nahoru,Sigt opad,Nach oben zielen,,,Apuntar arriba,,Tähtää ylös,Visée haut,Felfelé nézés,Mira su,上を狙う,,Omhoog richten,Sikt opp,Celuj w górę,Mirar para cima,,Țintește sus,Наведение вверх,
Aim down,CNTRLMNU_AIMDOWN,,,,Mířit dolů,Sigt nedad,Nach unten zielen,,,Apuntar abajo,,Tähtää alas,Visée bas,Lefelé nézés,Mira giù,下を狙う,,Naar beneden kijken,Sikt ned,Celuj w dół,Mirar para baixo,,Țintește jos,Наведение вниз,
Look left,CNTRLMNU_LOOKLEFT,,,,Pohled doleva,Kig til venstre,Nach links schauen,,,Mirar izquierda,,Katso vasemmalle,Regarder à gauche,Balra nézés,Guarda a sinistra,左を見る,,Naar links kijken,Se til venstre,Patrz w lewo,Olhar para a esquerda,,Privește la stânga,Смотреть влево,
Look right,CNTRLMNU_LOOKRIGHT,,,,Pohled doprava,Kig til højre,Nach rechts schauen,,,Mirar derecha,,Katso oikealle,Regarder à droite,Jobbra nézés,Guarda a destra,右を見る,,Rechts kijken,Se til høyre,Patrz w prawo,Olhar para a direita,,Privește la dreapta,Смотреть вправо,
Alternative Weapon,CNTRLMNU_ALTWEAPON,,,,Vedlejší zbraň,Alternativt våben,Alternative Waffe,,,Arma alternativa,,Vaihtoehtoinen ase,Arme Alternative,Alternatív lövés,Fuoco alternativo,,,Alternatief wapen,Alternativt våpen,Alternatywna Broń,Arma alternativa,,Armă Alternativă,Альтернативное оружие,
Holster Weapon,CNTRLMNU_HOLSTER,,,,Skrýt zbraň,Holster Våben,Waffe wegstecken,,,Enfundar arma,,Laske ase,Arme de poing,Fegyver elrakása,Fondina,武器をホルスターに収める,,Holster Wapen,Hylster Våpen,Schowaj Broń,Guardar arma,,Coboară Arma,Убрать оружие,
Quick Kick,CNTRLMNU_QUICKKICK,,,,Rychlý kop,Hurtigt spark,Schneller Tritt,,Rapida Piedbato,Patada rápida,,Pikapotkaisu,Kick rapide,Gyors rúgás,Calcio rapido,クイックキック,,Snelle Schop,Raskt spark,Szybki Kopniak,Chute rápido,,Șut Rapid,Быстрый пинок,
Pee,CNTRLMNU_PEE,,,,Močit,Tisse,Pinkeln,,Pisi,Mear,,Pissaa,Uriner,Vizelés,Pipì,,,Plas,Tisse,Sikaj,Mijar,,Urinează,Поссать,
Proximity Bomb,CNTRLMNU_PROXIMITYBOMBS,,,,Nástražná bomba,Nærhedsbombe,Kontaktbombe,,,Bomba de Proximidad,,Miinapommi,Bombe de Proximité,Mozgásérzékelős bomba,Bomba di prossimità,,,Nabijheidsbom,Nærhetsbombe,Mina,Bomba de Proximidade,,Bombă de Proximitate,Контактная мина,
Remote Bomb,CNTRLMNU_REMOTEBOMBS,,,,Bomba na dálku,Fjernbombe,Funkbombe,,,Bomba de Control Remoto,,Kauko-ohjauspommi,Bombe télécommandée,Távirányítós bomba,Bomba remota,,,Afstandsbom,Fjernstyrt bombe,Zdalna Bomba,Bomba de Controle Remoto,,Bombă cu Detonator,Радиоуправляемая граната,
Smoke Bomb,CNTRLMNU_SMOKEBOMB,,,,Kouřová bomba,Røgbombe,Rauchbombe,,,Bomba de Humo,,Savupommi,Explosif Fumigène,Füst bomba,Bomba fumogena,,,Rookbom,Røykbombe,Bomba Dymna,Bomba de Fumaça,,Bombă Fumigenă,Дымовая граната,
Gas Bomb,CNTRLMNU_GASBOMB,,,,Plynová bomba,Gasbombe,Gasgranate,,,Bomba de Gas,,Kaasupommi,Explosif à gaz toxique,Gáz bomba,Bomba a gas,,,Gas Bom,Gassbombe,Bomba Gazowa,Bomba de Gás,,Bombă cu Gaz,Газовая граната,
Flash Bomb,CNTRLMNU_FLASHBOMB,,,,Oslepovací bomba,Blitzbombe,Blendgranate,,,Bomba de Destello,,Sokaisupommi,Grenade aveuglante,Vakítógránát,Bomba accecante,,,Flash bom,Flash-bombe,Bomba Błyskowa,Bomba de Atordoamento,,Bombă Orbitoare,Световая граната,
Caltrops,CNTRLMNU_CALTROPS,,,,Kovový ježek,,Krähenfüße,,Korvopiedoj,Abrojos,,Jalkapiikit,Piège a pointes,Csillagbogáncs,,,,,,Kolczatki,Estrepes,,Ciulini de Fier,Шипы,
Holoduke,CNTRLMNU_HOLODUKE,,,,,,,,Holograma Duke,,,Holo-Duke,,,,ホロDUKE,,,,,Holoduke,,Duke Holografic,Голодюк,
Jetpack,CNTRLMNU_JETPACK,,,,,,,,Rakettornistro,Propulsor,,Rakettireppu,,,,ジェットパック,,,,Plecak Odrzutowy,Mochila a Jato,,,Реактивный ранец,
Night Vision,CNTRLMNU_NIGHTVISION,,,,Noktovizor,Nattesyn,Nachtsichtgerät,,Noktovido,Visión nocturna,,Yönäkö,Vision de nuit,Éjjellátó,Visore notturno,暗視,,Nachtzicht,Nattsyn,Noktowizor,Visão Noturna,,Vedere Infraroșie,Очки ночного видения,
Medkit,CNTRLMNU_MEDKIT,,,,Lékárnička,,,,Sukurkesto,Botiquín,,Lääkintälaukku,Médikit,Elsősegély csomag,,,,,,Apteczka,Kit Médico,,Kit Medical,Аптечка,
Steroids,CNTRLMNU_STEROIDS,,,,Steroidy,Steroider,Steroide,,Steroidoj,Esteroides,,Steroidit,Stéroïdes,Szteroidok,Steroidi,ステロイド,,Steroïden,Steroider,Sterydy,Esteroides,,Steroizi,Стероиды,
Holo Soldier,CNTRLMNU_HOLOSOLDIER,,,,Holovoják,Holo-soldat,Holosoldat,,Holograma Soldato,Holosoldado,,Holosotilas,Holosoldat,Holo Katona,Holo Soldato,,,Holosoldaat,Holo-soldat,Holo-Żołnierz,Soldado Holográfico,,Soldat Holografic,Голограмма солдата,
Huey,CNTRLMNU_HUEY,,,,,,,,,,,Huey,,,,,,,,,,,,Вертолёт «Хьюи»,
Beer,CNTRLMNU_BEER,,,,Pivo,Øl,Bier,,Biero,Cerveza,,Olut,Bière,Sör,Birra,ビール,,Bier,Øl,Piwo,Cerveja,,Bere,Пиво,
Cow Pie,CNTRLMNU_COWPIE,not translatable,,,Hovězí koláč,Ko-tærte,,,Bovtorto,Empanada de ternera,,Nautapiirakka,Tarte à la vache,Tehénlepény,Merda di mucca,,,Koeientaart,,Krowi placek,,,Plăcintă de Vacă,Коровье дерьмо,
Yeehaa,CNTRLMNU_YEEHAA,not translatable,,,,,,,,,,Jiihaa,,,,,,,,,Iiiirra,,,Йихаа,
Whiskey,CNTRLMNU_WHISKEY,,,,,,Whisky,,Viskio,Whisky,,Viski,,,,,,,Whisky,,Uísque,,,Виски,
Moonshine,CNTRLMNU_MOONSHINE,,,,Pálenka,,Schwarzgebrannter,,Brandaĉo,Licor,,Pontikka,,Zugpia,,,,,Hjemmebrent,Samogon,Pinga,,Whiskey Ilegal,Самогон,
Crystal Ball,CNTRLMNU_CRYSTALBALL,,,,Křišťálová koule,Krystalkugle,Kristallkugel,,Kristala Globo,Bola de cristal,,Kristallipallo,Boule de Cristal,Kristálygömb,Sfera di Cristallo,,,Kristallen Bal,Krystallkule,Kryształowa Kula,Bola de Cristal,,Bilă de Cristal,Кристальный шар,
Jump Boots,CNTRLMNU_JUMPBOOTS,,,,Skákající boty,Hoppestøvler,Sprungstiefel,,Saltbotoj,Botas de salto,,Hyppysaappaat,Bottes de Saut,Ugrócipő,Stivali da salto,,,Springschoenen,Hoppestøvler,Buty do Skakania,Botas de Pulo,,Cizme pentru Sărituri,Прыжковые сапоги,
Beast Vision,CNTRLMNU_BEASTVISION,,,,Zrak bestie,Beast Vision,MonsterVision,,Bestvido,Visión de bestia,,Petonäkö,Vision Animale,Állati ösztön,Visione della bestia,,,Beest visie,Beast Vision,Wzrok Bestii,Visão de Fera,,Vedere de Bestie,Звериное зрение,
Tank Mode,CNTRLMNU_TANKMODE,,,,Tankový režim,Tank-tilstand,Panzermodus,,,Modo tanque,,Panssaritila,Mode Tank,Tank mód,Modalità serbatoio,,,Tank modus,Tank Mode,Tryb Czołgu,Modo Tanque,,Mod Tanc,Режим танка,
Smokes,CNTRLMNU_SMOKES,Cigarettes,,,Cigarety,Røg,Zigaretten,,Cigaredoj,Cigarrillos,,Röökit,Cigarettes,Elszív,Sigarette,,,Smokes,Røyker,Fajki,Cigarros,,Țigări,Сигареты,
Fire Mission,CNTRLMNU_FIRE_MISSION,,,,Ohnivá mise,Brandmission,,,,Artillería,,Tulikomento,Attaque aérienne,Kilövési Parancs,Missione antincendio,,,Vuur Missie,Brann-oppdrag,Ostrzał Artylerii,Artilharia,,Artilerie,Запрос артиллерии,
Radar,CNTRLMNU_RADAR,,,,,,,,,,,Tutka,,,,,,,,Radar,Radar,,,Радар,
Other,CNTRLMNU_OTHER,,,,Ostatní,Andre,Andere,,Alia,Otros,,Muu,Autres,Egyéb,Altro,その他,그 외 조작,Andere,Annet,Inne,Outro,,Altele,Прочее,Остало
Writin': OFF,MSGOFF,,Redneck RedneckRides,,Čmáranice: VYP,Skriveri: FRA,Geschreibsel: AUS,Μηνύματα ΚΛΕΙΣΤΑ,Mesaĝoj MALŜALTITA,Garabatos: DESACTIVADOS,,Sepustukset POIES PIÄLTÄ,Messages désactivés.,Üzenetek KI,Messaggi DISATTIVATI,メッセージ: オフ,메시지 끔,Berichten UIT,Skriver: AV,Wiadomości WYŁĄCZONE,Mensagens DESATIVADAS,,Scriere: OPRITĂ,Написание сообщений ОТКЛЮЧЕНО,Поруке ИСКЉУЧЕНЕ
Writin': ON,MSGON,,Redneck RedneckRides,,Čmáranice: ZAP,Skriveri: TIL,Geschreibsel: AN,Μηνύματα ΑΝΟΙΧΤΑ,Mesaĝoj ŜALTITA,Garabatos: ACTIVADOS,,Sepustukset PIÄLLÄ,Messages activés.,Üzenetek BE,Messaggi ATTIVATI,メッセージ: オン,메시지 켬,Berichten AAN,Skriver: PÅ,Wiadomości WŁĄCZONE,Mensagens ATIVADAS,,Scriere: PORNITĂ,Написание сообщений ВКЛЮЧЕНО,Поруке УКЉУЧЕНЕ
Mouse aiming ON,TXT_MOUSEAIMON,,,,Míření myší ZAP,Musesøgning TIL,Mit Maus zielen: An,,,Apuntar con ratón ACTIVADO,,Hiiritähtäys PÄÄLLÄ,Visée souris activée,Szabad egérmozgás BE,Puntamento col mouse: sì,マウスエイム オン,,Muisbesturing AAN,Sikting med mus: PÅ,Celowanie myszką WŁĄCZONE,Mira com mouse ATIVADA,,Țintire cu mouse OPRITĂ,Наведение мышью ВКЛЮЧЕНО,
Mouse aiming OFF,TXT_MOUSEAIMOFF,,,,Míření myší VYP,Musesøgning FRA,Mit Maus zielen: Aus,,,Apuntar con ratón DESACTIVADO,,Hiiritähtäys POIS PÄÄLTÄ,Visée souris desactivée,Szabad egérmozgás KI,Puntamento col mouse: no,マウスエイム オフ,,Muisbesturing UIT,Mus sikter AV,Celowanie myszką WYŁĄCZONE,Mira com mouse DESATIVADA,,Țintire cu mouse PORNITĂ,Наведение мышью ОТКЛЮЧЕНО,
Rat aimin' ON,TXT_MOUSEAIMON,I don't think this translates well...,Redneck RedneckRides,,Míření krysou ZAP,Rottesøgning TIL,Mit Maus zielen: An,,,Apunte con rata ACTIVADO,,Rottasihtaus PIÄLLÄ,Visée souris activée,Szabad patkánymozgás BE,Puntamento col mouse: sì,マウスエイム オン,,Rattenbesturing AAN,Rotte sikter PÅ,Szczurze celowanie WŁĄCZONE,Mira com mouse ATIVADA,,Țintire automată PORNITĂ,Наводка крысы ВКЛЮЧЕНА,
Rat aimin' OFF,TXT_MOUSEAIMOFF,,Redneck RedneckRides,,Míření krysou VYP,Rottesøgning FRA,Mit Maus zielen: Aus,,,Apunte con rata DESACTIVADO,,Rottasihtaus POIES PIÄLTÄ,Visée souris desactivée,Szabad patkánymozgás KI,Puntamento col mouse: no,マウスエイム オフ,,Rattenbesturing UIT,Rotte sikter AV,Szczurze celowanie WYŁĄCZONE,Mira com mouse DESATIVADA,,Țintire automată OPRITĂ,Наводка крысы ОТКЛЮЧЕНА,
Mouselook Toggle,MOUSEMNU_LOOKSPRING,,,,Automatické vystředění pohledu,Muselook Toggle,Automatisch zentrieren,,Rigardbaskuli,Alternar mira con ratón,,Katseenpalautin,Recentrer après Vue Souris,Szabad egérmozgás kapcsoló,Modalità vista col mouse,視点水平化,마우스룩 시점 초기화,Muisblik Toggle,Mouselook Toggle,Przełączenie patrzenia myszką,Ativar/desativar visão com mouse,Centrar automáticamente,Comutator privire în jur cu mouse,Обзор мышью (перекл.),Покрет мишем
Mouse Strafe,MOUSEMNU_LOOKSTRAFE,,,,Použít myš k pohybu do stran,Mus Strafe,Seitwärts bewegen mit der Maus,,Musflankmovado,Desplazarse con ratón,,Sivuttaisastuntapalautin,Mouvement Latéral par Souris,Egér oldalazás,Spostamento laterale con il mouse,視点横移動化,마우스룩 좌우 이동,Lookstrafe,Mouse Strafe,Unikanie przy użyciu myszki,Deslocamento lateral com mouse,Deslocamento lateral com o rato,Deplasare în diagonală cu mouse,Движение мышью вбок,Стрејф мишем
,,Multiplayer,,,,,,,,,,,,,,,,,,,,,,,
Game Options,NETMNU_OPTIONS,,,,Nastavení hry,Spilindstillinger,Spieleinstellungen,,Lud-Agordoj ,Opciones de Juego,,Pelin asetukset,Options de jeu,Játék opciók,Opzioni di gioco,,,Spel opties,Spillalternativer,Opcje Gry,Opções de jogo,,Setări joc,Параметры игры,
Launch Game,NETMNU_LAUNCH,,,,Spustit hru,Start spil,Spiel starten,,,Arrancar Juego,,Käynnistä peli,Lancer partie,Játék indítás,Avvia Gioco,,,Spel starten,Start spillet,Zacznij Grę,Iniciar jogo,,Pornire joc,Запуск игры,
Multiplayer taunts,PLRMNU_TAUNTS,,,,Multiplayerová gesta,Multiplayer håner,Mehrspieler-Spott,,,Burlas de multijugador,,Moninpelipilkat,Injures Multijoueur,Többjátékos beszólások,Tazze multigiocatore,,,Multiplayer taunts,Flerspiller-hån,Drwiny trybu wielu graczy,Provocações de multijogador,,Tachinări online,Насмешки в сетевой игре,
Game Type,NETMNU_GAMETYPE,,,,Typ hry,Spiltype,Spieltyp,,,Modo de Juego,,Pelityyppi,Type de partie,Játékmód,Modalità di gioco,,,Type spel,Spilltype,Typ Gry,Modo de jogo,,Tip joc,Тип игры,
Deathmatch (Spawn),NETMNU_GAMETYPE1,currently not used,,,Deathmatch (s monstry),,Deathmatch mit Monstern,,,,,Kuolonmatsi (esineet palautuvat),,Deathmatch (Újraszületés),,,,,,Deathmatch (z przeciwnikami),Mata-mata (com surgimentos),,Deathmatch (cu spawn),Бой насмерть (с возрождениями),
DukeMatch (Spawn),NETMNU_GAMETYPE1,Duke,,,DukeMatch (s monstry),,DukeMatch mit Monstern,,,DukeMatch (Con Spawn),,Dukematsi (esineet palautuvat),,DukeMatch (Újraszületés),,,,,,DukeMatch (z przeciwnikami),DukeMatch (com surgimentos),,DukeMatch (cu spawn),Бой Дюков (с возрождениями),
GI Match (Spawn),NETMNU_GAMETYPE1,Nam,,,GI Match (s monstry),,GI Match mit Feinden,,,,,Solttumatsi (esineet palautuvat),,GI Match (Újraszületés),,,,,,Zadyma (z przeciwnikami),GI Match (com surgimentos),,Meci GI (cu spawn),Спешка (с возрождениями),
GruntMatch (Spawn),NETMNU_GAMETYPE1,WW2GI,,,Přestřelka (s monstry),,Infanteriematch mit Feinden,,,,,Solttumatsi (esineet palautuvat),,GruntMatch (Újraszületés),,,,,,Zadyma (z przeciwnikami),GruntMatch (com surgimentos),,GruntMatch (cu spawn),Перестрелка (с возрождениями),
Cooperative Play,NETMNU_GAMETYPE2,,,,Kooperační hra,Samarbejdsspil,Kooperatives Spiel,,,Modo Cooperativo,,Yhteispeli,,Cooperative Play,Cooperativa,,,,Samarbeidsspill,Gra Kooperacyjna,Jogo cooperativo,,Joc Cooperativ,Совместная игра,
Deathmatch (No Spawn),NETMNU_GAMETYPE3,,,,Deathmatch (bez monster),Deathmatch (ingen Spawn),Deathmatch ohne Monster,,,Deathmatch (Sin Spawn),,Kuolonmatsi (esineet eivät palaudu),,Deathmatch (Nincs újraszületés),Deathmatch (Senza Spawn),,,,Deathmatch (Ingen Spawn),Deathmatch (bez przeciwników),Mata-mata (sem surgimentos),,Deathmatch (fără spawn),Бой насмерть (без возрождений),
DukeMatch (No Spawn),NETMNU_GAMETYPE3,Duke,,,DukeMatch (bez monster),DukeMatch (ingen Spawn),DukeMatch ohne Monster,,,DukeMatch (Sin Spawn),,Dukematsi (esineet eivät palaudu),,DukeMatch (Nincs újraszületés),DukeMatch (Senza Spawn),,,,DukeMatch (Ingen Spawn),DukeMatch (bez przeciwników),DukeMatch (sem surgimentos),,DukeMatch (fără spawn),Бой Дюков (без возрождений),
GI Match (No Spawn),NETMNU_GAMETYPE3,Nam,,,GI Match (bez monster),GI Match (ingen Spawn),GI Match ohne Feinde,,,GI Match (Sin Spawn),,Solttumatsi (esineet eivät palaudu),,GI Match (Nincs újraszületés),GI Match (Senza Spawn),,,,GI Match (Ingen Spawn),Zadyma (bez przeciwników),GI Match (sem surgimentos),,Meci GI (fără spawn),Спешка (без возрождений),
GruntMatch (No Spawn),NETMNU_GAMETYPE3,WW2GI,,,Přestřelka (bez monster),GruntMatch (Ingen Spawn),Infanteriematch ohne Feinde,,,GruntMatch (Sin Spawn),,Solttumatsi (esineet eivät palaudu),,GruntMatch (Nincs újraszületés),GruntMatch (Senza Spawn),,,,GruntMatch (Ingen Spawn),Zadyma (bez przeciwników),GruntMatch (sem surgimentos),,GruntMatch (fără spawn),Перестрелка (без возрождений),
Team DM (Spawn),NETMNU_GAMETYPE4,,,,Týmový DM (s monstry),,Team DM mit Monstern,,,DM por Equipos (Spawn),,Joukkuematsi (esineet palautuvat),,Team DM (Újraszületés),DM a Squadre (Spawn),,,,Team DM (Spawn),Drużynowy DM (z przeciwnikami),Mata-mata entre equipes (com surgimentos),,DM în echipă (doar spawn),Командный бой (с возрождениями),
Team DM (No Spawn),NETMNU_GAMETYPE5,,,,Týmový DM (bez monster),Team DM (ingen Spawn),Team DM ohne Monster,,,DM por Equipos (Sin Spawn),,Joukkuematsi (esineet eivät palaudu),,Team DM (Nincs újraszületés),DM a Squadre (senza Spawn),,,,Team DM (Ingen Spawn),Drużynowy DM (bez przeciwników),Mata-mata entre equipes (sem surgimentos),,DM în echipă (fără spawn),Командный бой (без возрождений),
Episode,NETMNU_EPISODE,,,,Epizoda,,,,Epizodo,Episodio,,Episodi,Episode,Epizód,Episodio,,,Aflevering,,Epizod,Episódio,,Episod,Эпизод,
Level,NETMNU_LEVEL,,,,Úroveň,Niveau,,,Nivelo,Nivel,,Taso,Niveau,Pálya,Livello,,,,Nivå,Poziom,Fase,,Nivel,Уровень,
Monsters,NETMNU_MONSTERS,,,,Příšery,Monstre,Monster,,Monstroj,Monstruos,,Hirviöt,Monstres,Szörnyek,Mostri,,,,Monstre,Potwory,Monstros,,Monștri,Монстры,
Markers,NETMNU_MARKERS,,,,Značky,Markører,Markierungen,,Markoj,Marcas,,Merkit,Marqueurs,Jelölők,Marcatori,,,Markers,Markører,Oznaczenia,Marcadores,,Markere,Отметки,
Map Exits,NETMNU_MAPEXITS,,,,Východy z map,Kortets udgange,Levelausgänge,,Eliroj de Mapo,Salidas de Mapa,,Tasopoistumiset,Sorties,Pálya kijáratok,Uscita,,,Kaart uitgangen,Kartutganger,Wyjścia z Poziomów,Saídas da fase,,Ieșiri Hartă,Выходы на карте,
Friendly Fire,NETMNU_FFIRE,,,,Střelba do vlastních,Skud fra egen side,Teambeschuss,,,Fuego Amigo,,Ristituli,Tir Fratricide,Csapatsebzés,Fuoco amico,,,Vriendelijk vuur,Vennlig ild,Strzelanie do Kompanów,Fogo amigo,,Accidente,Огонь по своим,
Accept,NETMNU_ACCEPT,,,,OK,Accepter,Ok,,,Aceptar,,Hyväksy,Accepter,Elfogad,Accetta,,,Accepteer,Godta,Akceptuj,Aceitar,,,Принять,
Server,NETMNU_SERVER,,,,,,,,Servilo,Servidor,,Palvelin,Serveur,Szerver,,,,Server,,Serwer,Servidor,,,Сервер,
Port,NETMNU_PORT,Network port!,,,,,,,Konektejo,Puerto,,Portti,,,,,,Poort,,Port,Porta,,,Порт,
